Date,Open,High,Low,Close,Volume,Adj Close
2016-09-01,15649.469727,15772.25,15565.980469,15740.919922,000,15740.919922
2016-08-01,15639.259766,16128.820312,15026.200195,15649.469727,000,15649.469727
2016-07-01,14693.219727,16143.219727,14478.450195,15803.50,000,15803.50
2016-06-01,12684.269531,14715.879883,12519.980469,14683.490234,000,14683.490234
2016-05-02,13727.769531,13741.769531,12351.040039,12681.740234,000,12681.740234
2016-04-01,12992.429688,14187.240234,11775.570312,13724.070312,000,13724.070312
2016-03-01,13243.990234,13610.990234,12027.879883,12992.429688,000,12992.429688
2016-02-01,11298.730469,13340.519531,10855.55957,13115.950195,000,13115.950195
2016-01-04,11689.44043,11689.44043,9199.80957,11306.019531,000,11306.019531
2015-12-01,12974.570312,13523.150391,10906.589844,11675.179688,000,11675.179688
2015-11-02,12530.990234,14597.200195,12358.580078,12972.139648,000,12972.139648
2015-10-01,9819.740234,12718.900391,9514.459961,12461.25,000,12461.25
2015-09-01,11024.599609,11337.980469,8659.589844,9814.620117,000,9814.620117
2015-08-03,11100.950195,11862.769531,9766.080078,11032.870117,000,11032.870117
2015-07-01,11666.429688,12529.620117,10548.240234,11101.019531,000,11101.019531
2015-06-01,10800.860352,11684.419922,10635.070312,11656.80957,000,11656.80957
2015-05-01,12184.55957,12611.290039,10791.629883,10800.860352,000,10800.860352
2015-04-01,10959.769531,12542.320312,10944.44043,12050.19043,000,12050.19043
2015-03-02,9604.860352,11407.019531,9524.019531,10837.230469,000,10837.230469
2015-02-02,8489.879883,9667.929688,8256.360352,9601.610352,000,9601.610352
2015-01-02,8578.129883,9022.660156,7976.00,8490.459961,000,8490.459961
2014-12-01,9802.870117,9802.870117,7275.990234,8579.019531,000,8579.019531
2014-11-03,11040.75,11398.959961,9570.759766,9808.599609,000,9808.599609
2014-10-01,12548.990234,12548.990234,9466.730469,11019.429688,000,11019.429688
2014-09-01,9814.860352,12599.419922,9814.860352,12548.990234,000,12548.990234
2014-08-01,8184.529785,9930.549805,7890.799805,9817.299805,000,9817.299805
2014-07-01,7923.310059,8960.25,7660.129883,8187.990234,000,8187.990234
2014-06-02,7713.580078,8444.709961,6997.189941,7887.330078,000,7887.330078
2014-05-05,6878.660156,7865.859863,6723.370117,7712.22998,000,7712.22998
2014-04-01,6377.740234,6938.930176,6233.810059,6782.009766,000,6782.009766
2014-03-05,5782.25,6373.819824,5653.540039,6373.819824,000,6373.819824
2014-02-03,6030.77002,6198.220215,5378.330078,5784.390137,000,5784.390137
2014-01-02,5389.879883,6034.910156,5244.859863,6018.649902,000,6018.649902
2013-12-02,5702.140137,5722.310059,5105.47998,5391.029785,000,5391.029785
2013-11-01,5163.319824,5825.370117,5087.97998,5718.680176,000,5718.680176
2013-10-01,4786.97998,5696.669922,4786.649902,5165.089844,000,5165.089844
2013-09-02,3935.889893,4965.27002,3935.889893,4783.77002,000,4783.77002
2013-08-01,3362.080078,4017.820068,3343.639893,3935.889893,000,3935.889893
2013-07-01,2976.290039,3485.620117,2942.189941,3357.860107,000,3357.860107
2013-06-03,3489.429932,3495.27002,2908.620117,2976.27002,000,2976.27002
2013-05-02,3842.560059,4102.410156,3380.97998,3489.429932,000,3489.429932
2013-04-03,3414.120117,3859.399902,3269.090088,3845.939941,000,3845.939941
2013-03-01,3000.370117,3523.709961,2973.100098,3380.780029,000,3380.780029
2013-02-01,3463.080078,3544.850098,3042.97998,3048.550049,000,3048.550049
2013-01-02,2867.429932,3498.070068,2867.429932,3462.419922,000,3462.419922
2012-12-03,2427.48999,2887.330078,2414.449951,2854.290039,000,2854.290039
2012-11-01,2331.419922,2425.379883,2234.860107,2419.300049,000,2419.300049
2012-10-01,2450.98999,2500.780029,2314.100098,2323.389893,000,2323.389893
2012-09-03,2408.48999,2586.590088,2358.810059,2451.72998,000,2451.72998
2012-08-01,2400.310059,2484.429932,2355.810059,2408.379883,000,2408.379883
2012-07-02,2348.840088,2527.47998,2309.25,2400.310059,000,2400.310059
2012-06-01,2251.469971,2353.790039,2139.889893,2346.679932,000,2346.679932
2012-05-02,2258.820068,2389.550049,2118.070068,2256.73999,000,2256.73999
2012-04-03,2683.98999,2683.98999,2253.129883,2271.860107,000,2271.860107
2012-03-01,2648.860107,2771.350098,2626.040039,2683.98999,000,2683.98999
2012-02-01,2788.439941,2858.070068,2633.23999,2648.219971,000,2648.219971
2012-01-03,2482.919922,2976.830078,2482.919922,2787.169922,000,2787.169922
2011-12-01,2564.719971,2669.27002,2390.899902,2462.629883,000,2462.629883
2011-11-01,2894.73999,2894.73999,2405.00,2562.850098,000,2562.850098
2011-10-03,2451.179932,3027.939941,2212.280029,2905.540039,000,2905.540039
2011-09-01,2963.379883,2966.75,2438.969971,2463.629883,000,2463.629883
2011-08-01,3328.639893,3354.090088,2735.280029,2964.790039,000,2964.790039
2011-07-01,3360.620117,3503.040039,3256.909912,3321.850098,000,3321.850098
2011-06-01,3250.290039,3386.399902,3109.949951,3360.639893,000,3360.639893
2011-05-02,3407.590088,3428.459961,3232.439941,3250.909912,000,3250.909912
2011-04-01,3389.669922,3541.370117,3290.669922,3406.02002,900,3406.02002
2011-03-01,3456.169922,3492.030029,3166.530029,3388.030029,000,3388.030029
2011-02-01,3594.129883,3653.610107,3367.72998,3455.649902,000,3455.649902
2011-01-03,3523.820068,3700.899902,3497.840088,3593.129883,000,3593.129883
2010-12-01,3262.659912,3538.590088,3262.659912,3523.590088,000,3523.590088
2010-11-01,3011.76001,3380.810059,3011.76001,3261.48999,000,3261.48999
2010-10-01,2642.290039,3007.409912,2620.469971,3007.409912,000,3007.409912
2010-09-01,2360.290039,2665.860107,2360.290039,2643.419922,000,2643.419922
2010-08-02,2398.540039,2473.469971,2258.75,2336.889893,000,2336.889893
2010-07-01,2185.919922,2407.379883,2158.030029,2394.159912,000,2394.159912
2010-06-01,2203.600098,2348.47998,2159.590088,2185.01001,000,2185.01001
2010-05-03,2398.820068,2419.179932,2060.179932,2203.600098,000,2203.600098
2010-04-05,2398.280029,2505.370117,2356.149902,2396.27002,000,2396.27002
2010-03-01,2224.50,2449.949951,2224.50,2373.709961,000,2373.709961
2010-02-01,2296.72998,2358.070068,2151.100098,2221.379883,000,2221.379883
2010-01-04,2329.810059,2411.399902,2247.570068,2298.550049,000,2298.550049
2009-12-01,2150.290039,2328.139893,2138.389893,2320.72998,000,2320.72998
2009-11-02,2114.649902,2299.52002,2110.02002,2147.25,000,2147.25
2009-10-01,2075.129883,2343.290039,1999.300049,2115.76001,000,2115.76001
2009-09-01,1784.050049,2092.370117,1731.47998,2075.139893,000,2075.139893
2009-08-03,1723.109985,1816.560059,1708.589966,1781.890015,000,1781.890015
2009-07-01,1608.119995,1739.530029,1446.00,1719.869995,000,1719.869995
2009-06-01,1589.469971,1696.439941,1493.01001,1587.969971,000,1587.969971
2009-05-04,1276.380005,1607.76001,1275.25,1587.209961,000,1587.209961
2009-04-01,1119.910034,1293.060059,1119.910034,1275.25,000,1275.25
2009-03-02,1016.419983,1173.01001,914.070007,1125.949951,000,1125.949951
2009-02-02,1070.410034,1166.50,991.929993,1019.289978,000,1019.289978
2009-01-02,1083.76001,1215.52002,1026.50,1077.089966,000,1077.089966
2008-12-01,993.98999,1161.560059,919.280029,1079.660034,000,1079.660034
2008-11-03,1014.599976,1138.790039,821.820007,993.98999,000,993.98999
2008-10-01,1595.469971,1609.900024,819.359985,1010.789978,000,1010.789978
2008-09-01,1777.349976,1793.890015,1433.319946,1598.170044,000,1598.170044
2008-08-01,1919.140015,1919.140015,1686.23999,1777.140015,000,1777.140015
2008-07-01,2108.00,2108.00,1865.609985,1919.819946,000,1919.819946
2008-06-02,2204.429932,2211.429932,2026.77002,2107.870117,000,2107.870117
2008-05-02,2102.26001,2257.25,2083.030029,2205.719971,000,2205.719971
2008-04-01,2100.649902,2204.320068,2069.290039,2095.530029,000,2095.530029
2008-03-03,2162.199951,2188.600098,2010.310059,2103.719971,000,2103.719971
2008-02-01,2008.369995,2199.120117,1980.699951,2162.199951,000,2162.199951
2008-01-02,2162.179932,2163.97998,1861.119995,2007.27002,000,2007.27002
2007-12-03,2207.800049,2265.129883,2097.050049,2151.72998,000,2151.72998
2007-11-01,2350.389893,2351.689941,2159.280029,2207.159912,000,2207.159912
2007-10-01,2187.959961,2354.72998,2187.959961,2351.439941,000,2351.439941
2007-09-03,2062.080078,2198.25,2002.030029,2187.969971,000,2187.969971
2007-08-01,2178.72998,2195.879883,1751.75,2062.080078,000,2062.080078
2007-07-02,2195.639893,2303.429932,2132.689941,2180.25,000,2180.25
2007-06-01,2246.300049,2256.290039,2134.97998,2190.870117,000,2190.870117
2007-05-02,2154.51001,2247.800049,2097.719971,2243.030029,000,2243.030029
2007-04-03,2104.27002,2234.560059,2104.27002,2154.550049,000,2154.550049
2007-03-01,2067.719971,2102.800049,1905.920044,2102.780029,000,2102.780029
2007-02-01,2072.209961,2225.560059,2026.599976,2067.639893,000,2067.639893
2007-01-02,2087.850098,2148.209961,2010.23999,2070.639893,000,2070.639893
2006-12-01,1967.02002,2097.330078,1925.420044,2090.459961,000,2090.459961
2006-11-01,1781.969971,1972.420044,1781.969971,1967.02002,000,1967.02002
2006-10-02,1638.050049,1790.040039,1620.380005,1781.680054,000,1781.680054
2006-09-01,1663.579956,1682.859985,1580.859985,1637.27002,000,1637.27002
