Date,Open,High,Low,Close,Volume,Adj Close
2011-03-01,67381.00,68606.00,65463.00,68587.00,2289900,68587.00
2011-02-01,66575.00,68226.00,64016.00,67383.00,2565200,67383.00
2011-01-03,69310.00,71924.00,65898.00,66575.00,2206500,66575.00
2010-12-01,67731.00,70589.00,66948.00,69305.00,1386000,69305.00
2010-11-01,70686.00,73103.00,67103.00,67705.00,1640700,67705.00
2010-10-01,69438.00,72140.00,68847.00,70673.00,2531700,70673.00
2010-09-01,65154.00,69737.00,65154.00,69430.00,2204900,69430.00
2010-08-02,67524.00,68754.00,63804.00,65145.00,1892700,65145.00
2010-07-01,60935.00,67608.00,60056.00,67515.00,1755500,67515.00
2010-06-01,63033.00,65831.00,60936.00,60936.00,1834900,60936.00
2010-05-03,67534.00,67969.00,57634.00,63047.00,2552600,63047.00
2010-04-01,70375.00,71989.00,65914.00,67530.00,1820700,67530.00
2010-03-01,66511.00,70486.00,66511.00,70372.00,1717100,70372.00
2010-02-01,65402.00,68120.00,61341.00,66503.00,1601500,66503.00
2010-01-04,68587.00,71068.00,64541.00,65402.00,1825700,65402.00
2009-12-01,67051.00,69785.00,65925.00,68588.00,1351900,68588.00
2009-11-03,61539.00,68060.00,60724.00,67044.00,1746000,67044.00
2009-10-01,61519.00,67530.00,59678.00,61546.00,1711400,61546.00
2009-09-01,56489.00,62017.00,55339.00,61518.00,1346200,61518.00
2009-08-03,54766.00,58634.00,54766.00,56489.00,1401700,56489.00
2009-07-01,51464.00,55083.00,48262.00,54766.00,1394600,54766.00
2009-06-01,53202.00,54955.00,49130.00,51465.00,1512700,51465.00
2009-05-04,47290.00,53806.00,47290.00,53198.00,1904000,53198.00
2009-04-01,40918.00,48126.00,40256.00,47290.00,1834300,47290.00
2009-03-02,38180.00,42680.00,35722.00,40926.00,1678500,40926.00
2009-02-02,39296.00,43441.00,37324.00,38183.00,1762400,38183.00
2009-01-02,37550.00,42525.00,36744.00,39301.00,1665500,39301.00
2008-12-01,36596.00,40498.00,33798.00,37550.00,1700700,37550.00
2008-11-03,37261.00,41003.00,31081.00,36596.00,1842100,36596.00
2008-10-01,49538.00,49834.00,29435.00,37257.00,2106000,37257.00
2008-09-01,55665.00,55665.00,43766.00,49541.00,1681400,49541.00
2008-08-01,59505.00,59505.00,52345.00,55680.00,1139700,55680.00
2008-07-01,65018.00,65018.00,56418.00,59505.00,1332700,59505.00
2008-06-02,72593.00,72593.00,63689.00,65018.00,1214100,65018.00
