Date,Open,High,Low,Close,Volume,Adj Close
2013-08-01,2029.07,2106.16,2029.07,2098.38,000,2098.38
2013-07-01,1995.24,2072.99,1958.27,1993.80,000,1993.80
2013-06-03,2299.25,2299.25,1950.01,1979.21,000,1979.21
2013-05-02,2174.12,2324.02,2174.12,2300.59,000,2300.59
2013-04-01,2234.40,2244.64,2177.91,2177.91,000,2177.91
2013-03-01,2359.51,2359.51,2236.30,2236.62,000,2236.62
2013-02-01,2419.02,2434.48,2293.34,2365.59,000,2365.59
2013-01-04,2276.99,2385.42,2243.00,2385.42,000,2385.42
2012-12-03,1959.77,2269.13,1959.77,2269.13,000,2269.13
2012-11-01,2104.43,2117.05,1963.49,1980.12,000,1980.12
2012-10-08,2074.42,2132.76,2058.94,2068.88,000,2068.88
2012-09-03,2059.15,2134.89,2004.17,2086.17,000,2086.17
2012-08-01,2123.36,2174.10,2047.52,2047.52,000,2047.52
2012-07-02,2226.11,2229.19,2103.63,2103.63,000,2103.63
2012-06-01,2373.44,2373.44,2195.84,2225.43,000,2225.43
2012-05-02,2438.44,2452.01,2333.55,2372.23,000,2372.23
2012-04-05,2302.24,2406.86,2285.78,2396.32,000,2396.32
2012-03-01,2426.11,2460.69,2252.16,2262.79,000,2262.79
2012-02-01,2268.08,2451.86,2268.08,2428.49,000,2428.49
2012-01-04,2169.39,2319.12,2148.45,2292.61,000,2292.61
2011-12-01,2386.86,2386.86,2166.21,2199.42,000,2199.42
2011-11-01,2470.02,2529.76,2333.41,2333.41,000,2333.41
2011-10-10,2344.79,2473.41,2317.27,2468.25,000,2468.25
2011-09-01,2556.04,2556.04,2359.22,2359.22,000,2359.22
2011-08-01,2703.78,2703.78,2515.86,2567.34,000,2567.34
2011-07-01,2759.36,2820.17,2688.75,2701.73,000,2701.73
2011-06-01,2743.57,2762.08,2621.25,2762.08,000,2762.08
2011-05-03,2932.19,2932.19,2706.36,2743.47,000,2743.47
2011-04-01,2967.41,3057.33,2887.04,2911.51,000,2911.51
2011-03-01,2918.92,3002.15,2896.26,2928.11,000,2928.11
2011-02-01,2798.96,2932.25,2774.06,2905.05,000,2905.05
2011-01-03,2808.08,2852.65,2677.43,2790.69,000,2790.69
2010-12-01,2823.45,2927.08,2732.99,2808.08,000,2808.08
2010-11-01,3054.02,3159.51,2820.18,2820.18,000,2820.18
2010-10-01,2655.66,3051.42,2655.66,2978.83,000,2978.83
2010-09-01,2622.88,2698.36,2588.71,2655.66,000,2655.66
2010-08-02,2672.52,2687.98,2575.48,2638.80,000,2638.80
2010-07-01,2373.79,2648.12,2363.95,2637.50,000,2637.50
2010-06-01,2568.28,2588.70,2398.37,2398.37,000,2398.37
2010-05-03,2870.61,2870.61,2555.94,2592.15,000,2592.15
2010-04-01,3147.42,3166.18,2868.43,2870.61,000,2870.61
2010-03-01,3087.84,3128.47,2976.94,3109.10,000,3109.10
2010-02-01,2941.36,3060.62,2934.71,3051.94,000,3051.94
2010-01-04,3243.76,3282.18,2986.61,2989.29,000,2989.29
2009-12-01,3235.36,3331.90,3050.52,3277.14,000,3277.14
2009-11-02,3076.65,3338.66,3076.65,3195.30,000,3195.30
2009-10-01,2779.43,3109.57,2779.43,2995.85,000,2995.85
2009-09-01,2683.72,3060.26,2683.72,2779.43,000,2779.43
2009-08-03,3462.59,3471.44,2667.75,2667.75,000,2667.75
2009-07-01,3008.15,3438.37,3008.15,3412.06,000,3412.06
2009-06-01,2721.28,2975.31,2721.28,2959.36,000,2959.36
2009-05-01,2477.57,2676.68,2477.57,2632.93,000,2632.93
2009-04-01,2408.02,2557.46,2347.39,2477.57,000,2477.57
2009-03-02,2093.45,2374.44,2071.43,2373.21,000,2373.21
2009-02-02,2011.68,2389.39,2011.68,2082.85,000,2082.85
2009-01-05,1880.72,2004.95,1863.37,1990.66,000,1990.66
2008-12-01,1894.61,2090.77,1820.81,1820.81,000,1820.81
2008-11-03,1719.77,2030.48,1706.70,1871.16,000,1871.16
2008-10-01,2293.78,2293.78,1719.81,1728.79,000,1728.79
2008-09-01,2325.14,2325.14,1895.84,2293.78,000,2293.78
2008-08-01,2801.82,2801.82,2319.87,2397.37,000,2397.37
2008-07-01,2651.60,2920.55,2651.60,2775.72,000,2775.72
2008-06-02,3459.04,3459.04,2736.10,2736.10,000,2736.10
2008-05-05,3761.01,3761.01,3364.54,3433.35,000,3433.35
2008-04-01,3329.16,3693.11,3094.67,3693.11,000,3693.11
2008-03-03,4438.27,4438.27,3411.49,3472.71,000,3472.71
2008-02-01,4320.77,4672.17,4192.53,4348.54,000,4348.54
2008-01-02,5272.81,5497.90,4383.39,4383.39,000,4383.39
2007-12-03,4868.61,5308.89,4836.17,5261.56,000,5261.56
2007-11-01,5914.29,5914.29,4803.39,4871.78,000,4871.78
2007-10-08,5692.75,6092.06,5562.39,5954.77,000,5954.77
2007-09-03,5321.06,5552.30,5113.97,5552.30,000,5552.30
2007-08-01,4300.56,5218.83,4300.56,5218.83,000,5218.83
2007-07-02,3836.29,4471.03,3615.87,4471.03,000,4471.03
2007-06-01,4000.74,4269.52,3670.40,3820.70,000,3820.70
2007-05-08,3950.01,4334.92,3899.18,4109.65,000,4109.65
2007-04-02,3252.59,3841.27,3252.59,3841.27,000,3841.27
2007-03-01,2797.19,3197.54,2785.31,3183.98,000,3183.98
2007-02-01,2785.43,3040.60,2612.54,2881.07,000,2881.07
2007-01-04,2715.72,2975.13,2641.33,2786.33,000,2786.33
2006-12-01,2102.05,2675.47,2093.64,2675.47,000,2675.47
2006-11-01,1855.71,2099.29,1851.31,2099.29,000,2099.29
2006-10-02,1752.42,1837.99,1752.42,1837.99,000,1837.99
2006-09-01,1636.69,1752.42,1636.69,1752.42,000,1752.42
